institution_name,title_of_course,star_ratings,number_of_raters,skills_list,level_of_course
University of Pennsylvania,English for Career Development,4.8,(15K reviews),"Skills you'll gain: Business Communication, Critical Thinking, Human Resources, Human Resources Operations, Application Development, People Management",Mixed · Course · 1 - 3 Months
École Polytechnique,Étudier en France: French Intermediate course B1-B2,4.8,(4.7K reviews),"Skills you'll gain: Communication, Culture, Writing",Intermediate · Course · 1 - 3 Months
Yonsei University,First Step Korean,4.9,(49K reviews),"Skills you'll gain: Communication, Culture, Writing",Beginner · Course · 1 - 3 Months
Georgia Institute of Technology,Lesson | Small Talk & Conversational Vocabulary,4.2,(956 reviews),,Mixed · Course · 1 - 4 Weeks
Peking University,Chinese for Beginners,4.8,(19K reviews),Skills you'll gain: Communication,Mixed · Course · 1 - 3 Months
Rice University,English and Academic Preparation - Pre-Collegiate,4.6,(302 reviews),,Beginner · Course · 1 - 4 Weeks
"University of California, Davis",Learn Spanish: Basic Spanish Vocabulary,4.6,(3.6K reviews),"Skills you'll gain: Communication, Writing, Culture",Beginner · Specialization · 3 - 6 Months
Shanghai Jiao Tong University,Training and Practicing in English Public Speaking,4.6,(194 reviews),Skills you'll gain: Communication,Beginner · Course · 1 - 3 Months
Pontificia Universidad Católica de Chile,English for Common Interactions in the Workplace: Basic Level,4.7,(1.5K reviews),,Mixed · Course · 1 - 3 Months
The University of Tokyo,Let’s Read! Learning Japanese through Science & Technology-1,4.7,(66 reviews),,Intermediate · Course · 1 - 3 Months
"University of California, Irvine",Learn English: Advanced Academic Speaking and Listening,4.5,(1.3K reviews),"Skills you'll gain: Communication, Business Communication, Writing, Research and Design, Visual Design",Intermediate · Specialization · 3 - 6 Months
University of Washington,Lesson | Business English Skills: Introducing Yourself in Business Settings,4.4,(176 reviews),,Intermediate · Course · 1 - 4 Weeks
Universiteit Leiden,Miracles of Human Language: An Introduction to Linguistics,4.7,(2.4K reviews),,Beginner · Course · 1 - 3 Months
Università di Napoli Federico II,English Lower Intermediate B1.1,4.1,(37 reviews),Skills you'll gain: Writing,Intermediate · Course · 1 - 3 Months
National Taiwan University,Learning Chinese : Start From Scratch (零到一學中文),4.5,(490 reviews),Skills you'll gain: Communication,Beginner · Course · 1 - 3 Months
Yonsei University,Learn to Speak Korean 1,4.9,(11K reviews),"Skills you'll gain: Culture, Writing",Beginner · Course · 1 - 3 Months
University of Washington,Business English Communication Skills,4.8,(4.4K reviews),"Skills you'll gain: Business Communication, Communication, Leadership and Management, Planning, Negotiation, Writing, People Management, Professional Development, Business Intelligence, Strategy, Business Development, Decision Making, Organizational Development, Project Management, Public Relations, People Analysis, Customer Relationship Management, Basic Descriptive Statistics, Data Analysis, Human Resources, Collaboration, Visualization (Computer Graphics), Data Visualization, Statistical Tests",Intermediate · Specialization · 3 - 6 Months
Georgia Institute of Technology,Lesson | Express Yourself: Pronunciation,4.6,(354 reviews),,Mixed · Course · 1 - 4 Weeks
Shanghai Jiao Tong University,Learn Mandarin Chinese,4.8,(1.7K reviews),"Skills you'll gain: Communication, Culture",Beginner · Specialization · 3 - 6 Months
Georgia Institute of Technology,Lesson | Get Ready for the Interview,4.4,(96 reviews),,Mixed · Course · 1 - 4 Weeks
Arizona State University,Arizona State University TESOL,4.9,(19K reviews),"Skills you'll gain: Human Learning, Strategy, Planning, Writing, Mergers & Acquisitions",Beginner · Professional Certificate · 3 - 6 Months
Tsinghua University,Learn English,4.3,(818 reviews),"Skills you'll gain: Communication, Culture, Writing",Beginner · Specialization · 3 - 6 Months
Universidade Estadual de Campinas,Pluralidades em Português Brasileiro,4.8,(848 reviews),"Skills you'll gain: Culture, Communication, Critical Thinking",Advanced · Course · 1 - 3 Months
Arizona State University,"TESOL Certificate, Part 1: Teach English Now!",4.9,(17K reviews),"Skills you'll gain: Human Learning, Planning, Strategy, Mergers & Acquisitions",Beginner · Specialization · 3 - 6 Months
Nanjing University,Translation in Practice,4.4,(199 reviews),,Beginner · Course · 1 - 3 Months
Peking University,More Chinese for Beginners,4.8,(1.3K reviews),Skills you'll gain: Communication,Mixed · Course · 1 - 3 Months
University of Pennsylvania,English for Business and Entrepreneurship,4.8,(4.7K reviews),"Skills you'll gain: Entrepreneurship, Business Analysis, Market Research, Planning, Marketing, Business Development, Decision Making",Beginner · Course · 1 - 3 Months
University of Pennsylvania,English for Media Literacy,4.9,(2K reviews),Skills you'll gain: Social Media,Mixed · Course · 1 - 3 Months
Lund University,Writing in English at University,4.6,(572 reviews),Skills you'll gain: Writing,Beginner · Course · 1 - 4 Weeks
Georgia Institute of Technology,"Speak English Professionally: In Person, Online & On the Phone",4.7,(10K reviews),Skills you'll gain: Communication,Mixed · Course · 1 - 3 Months
University of Washington,"Lesson | Business English Skills: How to Navigate Tone, Formality, and Directness in Emails",4.5,(184 reviews),,Intermediate · Course · 1 - 4 Weeks
Peking University,Chinese Characters for beginner 汉字,4.7,(945 reviews),Skills you'll gain: Writing,Beginner · Course · 1 - 3 Months
Georgia Institute of Technology,Lesson | Understand and Be Understood on the Phone,4.7,(48 reviews),,Mixed · Course · 1 - 4 Weeks
University of Pennsylvania,English for Journalism,4.8,(2.7K reviews),Skills you'll gain: Journalism,Mixed · Course · 1 - 3 Months
Arizona State University,Business English,4.7,(2.3K reviews),"Skills you'll gain: Business Communication, Communication, Leadership and Management, Strategy, Critical Thinking, Sales, Writing, Business Analysis, Finance, Marketing, Problem Solving, Entrepreneurship, Negotiation, Financial Management, People Analysis, Performance Management, User Experience, Collaboration",Intermediate · Specialization · 3 - 6 Months
Sungkyunkwan University,A Bridge to the World: Korean Language for Intermediate1,4.9,(364 reviews),Skills you'll gain: Culture,Intermediate · Course · 1 - 3 Months
Pontificia Universidad Católica de Chile,English for Interactions in the Workplace Intermediate Level,4.7,(20 reviews),,Intermediate · Course · 1 - 3 Months
The University of Tokyo,Let’s Read! Learning Japanese through Science & Technology-2,4.8,(13 reviews),,Intermediate · Course · 1 - 3 Months
Georgia Institute of Technology,Better Business Writing in English,4.7,(496 reviews),"Skills you'll gain: Business Communication, Writing, Business Development, Business Intelligence, Business Process Management, Critical Thinking, Leadership and Management, Organizational Development, Professional Development",Beginner · Course · 1 - 4 Weeks
Georgia Institute of Technology,Lesson | Video Conferencing: Face to Face but Online,4.2,(30 reviews),,Mixed · Course · 1 - 4 Weeks
"University of California, Davis",Spanish Vocabulary: Meeting People,4.6,(3.2K reviews),"Skills you'll gain: Communication, Writing",Beginner · Course · 1 - 4 Weeks
"University of California, Irvine",IELTS Preparation,4.6,(1.6K reviews),"Skills you'll gain: Strategy, Writing",Beginner · Specialization · 1 - 3 Months
Khalifa University,Arabic for Beginners: Arabic Alphabet and Phonology,,,,Beginner · Course · 1 - 3 Months
Georgia Institute of Technology,Lesson | Organize Your Pitch,4.4,(30 reviews),,Mixed · Course · 1 - 4 Weeks
Georgia Institute of Technology,Lesson | Telephone Language,4.5,(85 reviews),,Mixed · Course · 1 - 4 Weeks
University of Colorado Boulder,Blended Language Learning: Design and Practice for Teachers,4.8,(255 reviews),,Intermediate · Course · 1 - 4 Weeks
University of Houston,American Deaf Culture,4.5,(359 reviews),Skills you'll gain: Culture,Beginner · Course · 1 - 3 Months
Peking University,Chinese for HSK 1,4.9,(2.4K reviews),Skills you'll gain: Writing,Beginner · Course · 1 - 3 Months
Peking University,Chinese Characters for beginner (2) 汉字(2),4.7,(172 reviews),Skills you'll gain: Writing,Intermediate · Course · 1 - 3 Months
University of Washington,Business English: Meetings,4.8,(962 reviews),"Skills you'll gain: Business Communication, Organizational Development, Business Intelligence, Leadership and Management, People Management, Planning, Project Management, Writing, Strategy",Intermediate · Course · 1 - 4 Weeks
