institution_name,title_of_course,star_ratings,number_of_raters,level,duration,Writing,Communication,Business Communication,Leadership and Management,Culture,Planning,Strategy,Critical Thinking,Professional Development,Others
University of Pennsylvania,English for Career Development,4.8,15000.0,Mixed , 1 - 3 Months,0,0,1,0,0,0,0,1,0,1
École Polytechnique,Étudier en France: French Intermediate course B1-B2,4.8,4700.0,Intermediate , 1 - 3 Months,1,1,0,0,1,0,0,0,0,0
Yonsei University,First Step Korean,4.9,49000.0,Beginner , 1 - 3 Months,1,1,0,0,1,0,0,0,0,0
Georgia Institute of Technology,Lesson | Small Talk & Conversational Vocabulary,4.2,956000.0,Mixed , 1 - 4 Weeks,1,1,0,0,1,0,0,0,0,0
Peking University,Chinese for Beginners,4.8,19000.0,Mixed , 1 - 3 Months,0,1,0,0,0,0,0,0,0,0
Rice University,English and Academic Preparation - Pre-Collegiate,4.6,302000.0,Beginner , 1 - 4 Weeks,0,1,0,0,0,0,0,0,0,0
"University of California, Davis",Learn Spanish: Basic Spanish Vocabulary,4.6,3600.0,Beginner , 3 - 6 Months,1,1,0,0,1,0,0,0,0,0
Shanghai Jiao Tong University,Training and Practicing in English Public Speaking,4.6,194000.0,Beginner , 1 - 3 Months,0,1,0,0,0,0,0,0,0,0
Pontificia Universidad Católica de Chile,English for Common Interactions in the Workplace: Basic Level,4.7,1500.0,Mixed , 1 - 3 Months,0,1,0,0,0,0,0,0,0,0
The University of Tokyo,Let’s Read! Learning Japanese through Science & Technology-1,4.7,66000.0,Intermediate , 1 - 3 Months,0,1,0,0,0,0,0,0,0,0
"University of California, Irvine",Learn English: Advanced Academic Speaking and Listening,4.5,1300.0,Intermediate , 3 - 6 Months,1,1,1,0,0,0,0,0,0,1
University of Washington,Lesson | Business English Skills: Introducing Yourself in Business Settings,4.4,176000.0,Intermediate , 1 - 4 Weeks,1,1,1,0,0,0,0,0,0,1
Universiteit Leiden,Miracles of Human Language: An Introduction to Linguistics,4.7,2400.0,Beginner , 1 - 3 Months,1,1,1,0,0,0,0,0,0,1
Università di Napoli Federico II,English Lower Intermediate B1.1,4.1,37000.0,Intermediate , 1 - 3 Months,1,0,0,0,0,0,0,0,0,0
National Taiwan University,Learning Chinese : Start From Scratch (零到一學中文),4.5,490000.0,Beginner , 1 - 3 Months,0,1,0,0,0,0,0,0,0,0
Yonsei University,Learn to Speak Korean 1,4.9,11000.0,Beginner , 1 - 3 Months,1,0,0,0,1,0,0,0,0,0
University of Washington,Business English Communication Skills,4.8,4400.0,Intermediate , 3 - 6 Months,1,1,1,1,0,1,1,0,1,1
Georgia Institute of Technology,Lesson | Express Yourself: Pronunciation,4.6,354000.0,Mixed , 1 - 4 Weeks,1,1,1,1,0,1,1,0,1,1
Shanghai Jiao Tong University,Learn Mandarin Chinese,4.8,1700.0,Beginner , 3 - 6 Months,0,1,0,0,1,0,0,0,0,0
Georgia Institute of Technology,Lesson | Get Ready for the Interview,4.4,96000.0,Mixed , 1 - 4 Weeks,0,1,0,0,1,0,0,0,0,0
Arizona State University,Arizona State University TESOL,4.9,19000.0,Beginner , 3 - 6 Months,1,0,0,0,0,1,1,0,0,1
Tsinghua University,Learn English,4.3,818000.0,Beginner , 3 - 6 Months,1,1,0,0,1,0,0,0,0,0
Universidade Estadual de Campinas,Pluralidades em Português Brasileiro,4.8,848000.0,Advanced , 1 - 3 Months,0,1,0,0,1,0,0,1,0,0
Arizona State University,"TESOL Certificate, Part 1: Teach English Now!",4.9,17000.0,Beginner , 3 - 6 Months,0,0,0,0,0,1,1,0,0,1
Nanjing University,Translation in Practice,4.4,199000.0,Beginner , 1 - 3 Months,0,0,0,0,0,1,1,0,0,1
Peking University,More Chinese for Beginners,4.8,1300.0,Mixed , 1 - 3 Months,0,1,0,0,0,0,0,0,0,0
University of Pennsylvania,English for Business and Entrepreneurship,4.8,4700.0,Beginner , 1 - 3 Months,0,0,0,0,0,1,0,0,0,1
University of Pennsylvania,English for Media Literacy,4.9,2000.0,Mixed , 1 - 3 Months,0,0,0,0,0,0,0,0,0,1
Lund University,Writing in English at University,4.6,572000.0,Beginner , 1 - 4 Weeks,1,0,0,0,0,0,0,0,0,0
Georgia Institute of Technology,"Speak English Professionally: In Person, Online & On the Phone",4.7,10000.0,Mixed , 1 - 3 Months,0,1,0,0,0,0,0,0,0,0
University of Washington,"Lesson | Business English Skills: How to Navigate Tone, Formality, and Directness in Emails",4.5,184000.0,Intermediate , 1 - 4 Weeks,0,1,0,0,0,0,0,0,0,0
Peking University,Chinese Characters for beginner 汉字,4.7,945000.0,Beginner , 1 - 3 Months,1,0,0,0,0,0,0,0,0,0
Georgia Institute of Technology,Lesson | Understand and Be Understood on the Phone,4.7,48000.0,Mixed , 1 - 4 Weeks,1,0,0,0,0,0,0,0,0,0
University of Pennsylvania,English for Journalism,4.8,2700.0,Mixed , 1 - 3 Months,0,0,0,0,0,0,0,0,0,1
Arizona State University,Business English,4.7,2300.0,Intermediate , 3 - 6 Months,1,1,1,1,0,0,1,1,0,1
